metric_name,description,base_unit,statistic,measurement_value,tag,tag_value,is_alert
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,exception,none,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,method,GET,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,uri,UNKNOWN,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,outcome,SUCCESS,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,status,200,False
http.server.requests.active,,seconds,DURATION,0.0007873,exception,none,False
http.server.requests.active,,seconds,DURATION,0.0007873,method,GET,False
http.server.requests.active,,seconds,DURATION,0.0007873,uri,UNKNOWN,False
http.server.requests.active,,seconds,DURATION,0.0007873,outcome,SUCCESS,False
http.server.requests.active,,seconds,DURATION,0.0007873,status,200,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,exception,none,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,method,GET,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,uri,UNKNOWN,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,outcome,SUCCESS,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,status,200,False
http.server.requests.active,,seconds,DURATION,0.0004583,exception,none,False
http.server.requests.active,,seconds,DURATION,0.0004583,method,GET,False
http.server.requests.active,,seconds,DURATION,0.0004583,uri,UNKNOWN,False
http.server.requests.active,,seconds,DURATION,0.0004583,outcome,SUCCESS,False
http.server.requests.active,,seconds,DURATION,0.0004583,status,200,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,exception,none,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,method,GET,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,uri,UNKNOWN,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,outcome,SUCCESS,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,status,200,False
http.server.requests.active,,seconds,DURATION,0.0004953,exception,none,False
http.server.requests.active,,seconds,DURATION,0.0004953,method,GET,False
http.server.requests.active,,seconds,DURATION,0.0004953,uri,UNKNOWN,False
http.server.requests.active,,seconds,DURATION,0.0004953,outcome,SUCCESS,False
http.server.requests.active,,seconds,DURATION,0.0004953,status,200,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,exception,none,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,method,GET,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,uri,UNKNOWN,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,outcome,SUCCESS,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,status,200,False
http.server.requests.active,,seconds,DURATION,0.0004893,exception,none,False
http.server.requests.active,,seconds,DURATION,0.0004893,method,GET,False
http.server.requests.active,,seconds,DURATION,0.0004893,uri,UNKNOWN,False
http.server.requests.active,,seconds,DURATION,0.0004893,outcome,SUCCESS,False
http.server.requests.active,,seconds,DURATION,0.0004893,status,200,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,exception,none,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,method,GET,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,uri,UNKNOWN,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,outcome,SUCCESS,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,status,200,False
http.server.requests.active,,seconds,DURATION,0.0004775,exception,none,False
http.server.requests.active,,seconds,DURATION,0.0004775,method,GET,False
http.server.requests.active,,seconds,DURATION,0.0004775,uri,UNKNOWN,False
http.server.requests.active,,seconds,DURATION,0.0004775,outcome,SUCCESS,False
http.server.requests.active,,seconds,DURATION,0.0004775,status,200,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,exception,none,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,method,GET,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,uri,UNKNOWN,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,outcome,SUCCESS,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,status,200,False
http.server.requests.active,,seconds,DURATION,0.0004254,exception,none,False
http.server.requests.active,,seconds,DURATION,0.0004254,method,GET,False
http.server.requests.active,,seconds,DURATION,0.0004254,uri,UNKNOWN,False
http.server.requests.active,,seconds,DURATION,0.0004254,outcome,SUCCESS,False
http.server.requests.active,,seconds,DURATION,0.0004254,status,200,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,exception,none,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,method,GET,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,uri,UNKNOWN,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,outcome,SUCCESS,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,status,200,False
http.server.requests.active,,seconds,DURATION,0.0003998,exception,none,False
http.server.requests.active,,seconds,DURATION,0.0003998,method,GET,False
http.server.requests.active,,seconds,DURATION,0.0003998,uri,UNKNOWN,False
http.server.requests.active,,seconds,DURATION,0.0003998,outcome,SUCCESS,False
http.server.requests.active,,seconds,DURATION,0.0003998,status,200,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,exception,none,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,method,GET,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,uri,UNKNOWN,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,outcome,SUCCESS,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,status,200,False
http.server.requests.active,,seconds,DURATION,0.0004632,exception,none,False
http.server.requests.active,,seconds,DURATION,0.0004632,method,GET,False
http.server.requests.active,,seconds,DURATION,0.0004632,uri,UNKNOWN,False
http.server.requests.active,,seconds,DURATION,0.0004632,outcome,SUCCESS,False
http.server.requests.active,,seconds,DURATION,0.0004632,status,200,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,exception,none,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,method,GET,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,uri,UNKNOWN,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,outcome,SUCCESS,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,status,200,False
http.server.requests.active,,seconds,DURATION,0.0003661,exception,none,False
http.server.requests.active,,seconds,DURATION,0.0003661,method,GET,False
http.server.requests.active,,seconds,DURATION,0.0003661,uri,UNKNOWN,False
http.server.requests.active,,seconds,DURATION,0.0003661,outcome,SUCCESS,False
http.server.requests.active,,seconds,DURATION,0.0003661,status,200,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,exception,none,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,method,GET,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,uri,UNKNOWN,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,outcome,SUCCESS,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,status,200,False
http.server.requests.active,,seconds,DURATION,0.0003376,exception,none,False
http.server.requests.active,,seconds,DURATION,0.0003376,method,GET,False
http.server.requests.active,,seconds,DURATION,0.0003376,uri,UNKNOWN,False
http.server.requests.active,,seconds,DURATION,0.0003376,outcome,SUCCESS,False
http.server.requests.active,,seconds,DURATION,0.0003376,status,200,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,exception,none,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,method,GET,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,uri,UNKNOWN,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,outcome,SUCCESS,False
http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,status,200,False
http.server.requests.active,,seconds,DURATION,0.0004355,exception,none,False
http.server.requests.active,,seconds,DURATION,0.0004355,method,GET,False
