Model Name,Accuracy Name,Metric Name,Accuracy Value,Training Date
GradientBoostingRegressor,R2,process_cpu_usage,0.88%,2024-03-11
GradientBoostingRegressor,Explained Variance,process_cpu_usage,0.88%,2024-03-11
GradientBoostingRegressor,MSE,logback_events,347651834793118.44%,2024-03-11
GradientBoostingRegressor,MAE,logback_events,1936992.83%,2024-03-11
GradientBoostingRegressor,R2,logback_events,1.00%,2024-03-11
GradientBoostingRegressor,Explained Variance,logback_events,1.00%,2024-03-11
SVR,MSE,jvm_threads_states,0.80%,2024-03-11
SVR,MAE,jvm_threads_states,0.21%,2024-03-11
SVR,R2,jvm_threads_states,1.00%,2024-03-11
SVR,Explained Variance,jvm_threads_states,1.00%,2024-03-11
SVR,MSE,process_uptime,32982796459.96%,2024-03-11
SVR,MAE,process_uptime,100459.01%,2024-03-11
SVR,R2,process_uptime,0.48%,2024-03-11
SVR,Explained Variance,process_uptime,0.54%,2024-03-11
RandomForestRegressor,MSE,jvm_threads_states,0.69%,2024-03-11
RandomForestRegressor,MAE,jvm_threads_states,0.16%,2024-03-11
RandomForestRegressor,R2,jvm_threads_states,1.00%,2024-03-11
RandomForestRegressor,Explained Variance,jvm_threads_states,1.00%,2024-03-11
GradientBoostingRegressor,MSE,process_uptime,69687486.37%,2024-03-11
GradientBoostingRegressor,MAE,process_uptime,1618.57%,2024-03-11
GradientBoostingRegressor,R2,process_uptime,1.00%,2024-03-11
GradientBoostingRegressor,Explained Variance,process_uptime,1.00%,2024-03-11
SVR,MSE,logback_events,222612390437161120.00%,2024-03-11
SVR,MAE,logback_events,318696545.15%,2024-03-11
SVR,R2,logback_events,-0.20%,2024-03-11
SVR,Explained Variance,logback_events,0.00%,2024-03-11
RandomForestRegressor,MSE,process_cpu_usage,0.00%,2024-03-11
RandomForestRegressor,MAE,process_cpu_usage,0.02%,2024-03-11
RandomForestRegressor,R2,process_cpu_usage,0.88%,2024-03-11
RandomForestRegressor,Explained Variance,process_cpu_usage,0.88%,2024-03-11
RandomForestRegressor,MSE,process_uptime,76492682.82%,2024-03-11
RandomForestRegressor,MAE,process_uptime,953.64%,2024-03-11
RandomForestRegressor,R2,process_uptime,1.00%,2024-03-11
RandomForestRegressor,Explained Variance,process_uptime,1.00%,2024-03-11
RandomForestRegressor,MSE,logback_events,347534730304963.75%,2024-03-11
RandomForestRegressor,MAE,logback_events,1200297.47%,2024-03-11
RandomForestRegressor,R2,logback_events,1.00%,2024-03-11
RandomForestRegressor,Explained Variance,logback_events,1.00%,2024-03-11
SVR,MSE,system_cpu_usage,0.01%,2024-03-11
SVR,MAE,system_cpu_usage,0.10%,2024-03-11
SVR,R2,system_cpu_usage,0.75%,2024-03-11
SVR,Explained Variance,system_cpu_usage,0.91%,2024-03-11
GradientBoostingRegressor,MSE,system_cpu_usage,0.00%,2024-03-11
GradientBoostingRegressor,MAE,system_cpu_usage,0.01%,2024-03-11
GradientBoostingRegressor,R2,system_cpu_usage,0.96%,2024-03-11
GradientBoostingRegressor,Explained Variance,system_cpu_usage,0.96%,2024-03-11
SVR,MSE,system_load_average_1m,5.12%,2024-03-11
SVR,MAE,system_load_average_1m,1.45%,2024-03-11
SVR,R2,system_load_average_1m,0.82%,2024-03-11
SVR,Explained Variance,system_load_average_1m,0.82%,2024-03-11
GradientBoostingRegressor,MSE,system_load_average_1m,4.84%,2024-03-11
